"k","true_OR","tau2","rho","scenario"
5,0.25,0,0,1
10,0.25,0,0,2
20,0.25,0,0,3
50,0.25,0,0,4
5,0.5,0,0,5
10,0.5,0,0,6
20,0.5,0,0,7
50,0.5,0,0,8
5,0.67,0,0,9
10,0.67,0,0,10
20,0.67,0,0,11
50,0.67,0,0,12
5,1,0,0,13
10,1,0,0,14
20,1,0,0,15
50,1,0,0,16
5,0.25,0.05,0,17
10,0.25,0.05,0,18
20,0.25,0.05,0,19
50,0.25,0.05,0,20
5,0.5,0.05,0,21
10,0.5,0.05,0,22
20,0.5,0.05,0,23
50,0.5,0.05,0,24
5,0.67,0.05,0,25
10,0.67,0.05,0,26
20,0.67,0.05,0,27
50,0.67,0.05,0,28
5,1,0.05,0,29
10,1,0.05,0,30
20,1,0.05,0,31
50,1,0.05,0,32
5,0.25,0.25,0,33
10,0.25,0.25,0,34
20,0.25,0.25,0,35
50,0.25,0.25,0,36
5,0.5,0.25,0,37
10,0.5,0.25,0,38
20,0.5,0.25,0,39
50,0.5,0.25,0,40
5,0.67,0.25,0,41
10,0.67,0.25,0,42
20,0.67,0.25,0,43
50,0.67,0.25,0,44
5,1,0.25,0,45
10,1,0.25,0,46
20,1,0.25,0,47
50,1,0.25,0,48
5,0.25,0,-0.6,49
10,0.25,0,-0.6,50
20,0.25,0,-0.6,51
50,0.25,0,-0.6,52
5,0.5,0,-0.6,53
10,0.5,0,-0.6,54
20,0.5,0,-0.6,55
50,0.5,0,-0.6,56
5,0.67,0,-0.6,57
10,0.67,0,-0.6,58
20,0.67,0,-0.6,59
50,0.67,0,-0.6,60
5,1,0,-0.6,61
10,1,0,-0.6,62
20,1,0,-0.6,63
50,1,0,-0.6,64
5,0.25,0.05,-0.6,65
10,0.25,0.05,-0.6,66
20,0.25,0.05,-0.6,67
50,0.25,0.05,-0.6,68
5,0.5,0.05,-0.6,69
10,0.5,0.05,-0.6,70
20,0.5,0.05,-0.6,71
50,0.5,0.05,-0.6,72
5,0.67,0.05,-0.6,73
10,0.67,0.05,-0.6,74
20,0.67,0.05,-0.6,75
50,0.67,0.05,-0.6,76
5,1,0.05,-0.6,77
10,1,0.05,-0.6,78
20,1,0.05,-0.6,79
50,1,0.05,-0.6,80
5,0.25,0.25,-0.6,81
10,0.25,0.25,-0.6,82
20,0.25,0.25,-0.6,83
50,0.25,0.25,-0.6,84
5,0.5,0.25,-0.6,85
10,0.5,0.25,-0.6,86
20,0.5,0.25,-0.6,87
50,0.5,0.25,-0.6,88
5,0.67,0.25,-0.6,89
10,0.67,0.25,-0.6,90
20,0.67,0.25,-0.6,91
50,0.67,0.25,-0.6,92
5,1,0.25,-0.6,93
10,1,0.25,-0.6,94
20,1,0.25,-0.6,95
50,1,0.25,-0.6,96
5,0.25,0,-1,97
10,0.25,0,-1,98
20,0.25,0,-1,99
50,0.25,0,-1,100
5,0.5,0,-1,101
10,0.5,0,-1,102
20,0.5,0,-1,103
50,0.5,0,-1,104
5,0.67,0,-1,105
10,0.67,0,-1,106
20,0.67,0,-1,107
50,0.67,0,-1,108
5,1,0,-1,109
10,1,0,-1,110
20,1,0,-1,111
50,1,0,-1,112
5,0.25,0.05,-1,113
10,0.25,0.05,-1,114
20,0.25,0.05,-1,115
50,0.25,0.05,-1,116
5,0.5,0.05,-1,117
10,0.5,0.05,-1,118
20,0.5,0.05,-1,119
50,0.5,0.05,-1,120
5,0.67,0.05,-1,121
10,0.67,0.05,-1,122
20,0.67,0.05,-1,123
50,0.67,0.05,-1,124
5,1,0.05,-1,125
10,1,0.05,-1,126
20,1,0.05,-1,127
50,1,0.05,-1,128
5,0.25,0.25,-1,129
10,0.25,0.25,-1,130
20,0.25,0.25,-1,131
50,0.25,0.25,-1,132
5,0.5,0.25,-1,133
10,0.5,0.25,-1,134
20,0.5,0.25,-1,135
50,0.5,0.25,-1,136
5,0.67,0.25,-1,137
10,0.67,0.25,-1,138
20,0.67,0.25,-1,139
50,0.67,0.25,-1,140
5,1,0.25,-1,141
10,1,0.25,-1,142
20,1,0.25,-1,143
50,1,0.25,-1,144
